tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Omregistrering,tabled_Innskudd,tabled_Bilen står i,tabled_Salgsform,tabled_Forrige pris,tabled_Avgiftsklasse,tabled_Antall eiere,id,tabled_Vekt,price,title,place,tabled_Årsavgift,tabled_CO2 utslipp,tabled_1. gang registrert,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Hjuldriftnavn,tabled_Interiørfarge,tabled_Antall dører,tabled_Str. lasterom,tabled_Drivstoff,tabled_Reg.nr.,tabled_Girkasse,tabled_Antall seter,tabled_Fargebeskrivelse,tabled_Km.stand
,,,,,2614,,,,,,,98663508,,135000,Volkswagen Beetle,1364 Fornebu,Inklusiv,,,,132386,,,,,,,,,,
,,,,,Fritatt,,,,,,,98662718,,54000,Mercedes-Benz A-Klasse,1470 Lørenskog,Inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98537081,,44569,Ford Mondeo,0187 Oslo,Inklusiv,,,,43000,,,,,,,,,,
,,,,,3660,,,,,,,98658933,,88660,Audi A4,1482 Nittedal,Inklusiv,,,,85000,,,,,,,,,,
,,,,,1569,,,,,,,98661856,,16569,Volkswagen Golf,1725 Sarpsborg,Ikke inklusiv,,,,15000,,,,,,,,,,
,,,,,3660,,,,,,,98663413,,113660,Volvo V70,5116 Ulset,Ikke inklusiv,,,,110000,,,,,,,,,,
,,,,,1569,,,,,,,98661775,,16569,Hyundai Getz,3525 Hallingby,Ikke inklusiv,,,,15000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98660337,,619000,Chevrolet Silverado,4306 Sandnes,Inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98662626,,13569,Volkswagen Passat,2860 Hov,Inklusiv,,,,12000,,,,,,,,,,
,,,,,3660,,,,,,,98663997,,139900,Mitsubishi ASX,7047 Trondheim,Inklusiv,,,,136240,,,,,,,,,,
,,,,,3660,,,,,,,68756493,,261660,Mitsubishi Outlander,2860 Hov,Inklusiv,,,,258000,,,,,,,,,,
,,,,,1046,,,,,,,98662000,,60046,Mitsubishi Pajero,3870 Fyresdal,Ikke inklusiv,,,,59000,,,,,,,,,,
,,,,,2614,,,,,,,94815345,,54614,Ford Fiesta,1400 Ski,Inklusiv,,,,52000,,,,,,,,,,
,,,,,3660,,,,,,,92794448,,125990,Peugeot 5008,2016 Frogner,Inklusiv,,,,122330,,,,,,,,,,
,,,,,2563,,,,,,,79562921,,147563,Nissan Juke,0476 Oslo,Ikke inklusiv,,,,145000,,,,,,,,,,
2001,1 l,Rød,68 Hk,Kombi 3-dørs,,,Norge,Bruktbil til salgs,,Personbil,3,98529703,850 kg,9069,Toyota Yaris,1152 Oslo,,137 g/km,26.02.2001,Forhjulsdrift,,,,3,,Bensin,BP58448,Manuell,5,,158 875 km
,,,,,Fritatt,,,,,,,94723310,,299000,Chevrolet Impala,1789 Berg,Inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98661074,,15569,Skoda Octavia,7224 Melhus,Inklusiv,,,,14000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98662114,,37000,Ford,1366 Lysaker,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,6064,,,,,,,98659052,,539000,Volvo V60 Cross Country,2825 Gjøvik,Inklusiv,,,,532936,,,,,,,,,,
,,,,,6064,,,,,,,93467550,,205064,Mercedes-Benz B-Klasse,1481 Hagan,Ikke inklusiv,,,,199000,,,,,,,,,,
,,,,,1569,,,,,,,98661808,,36569,Toyota Corolla,1831 Askim,Inklusiv,,,,35000,,,,,,,,,,
,,,,,2614,,,,,,,95893438,,60000,Fiat 500,5911 Alversund,Inklusiv,,,,57386,,,,,,,,,,
,,,,,1569,,,,,,,98662016,,16569,Volvo 850,3174 Revetal,Inklusiv,,,,15000,,,,,,,,,,
,,,,,2614,,,,,,,98660041,,39900,Nissan Micra,5308 Kleppestø,Inklusiv,,,,37286,,,,,,,,,,
,,,,,3660,,,,,,,98339259,,168660,Volkswagen Passat,4900 Tvedestrand,Inklusiv,,,,165000,,,,,,,,,,
,,,,,3660,,,,,,,98661096,,79660,Toyota Avensis,5214 Lysekloster,Ikke inklusiv,,,,76000,,,,,,,,,,
,,,,,1255,,,,,,,96620104,,90000,Ford Transit Connect,3772 Kragerø,Inklusiv,,,,88745,,,,,,,,,,
,,,,,2614,,,,,,,98660000,,47614,Hyundai Getz,5174 Mathopen,Inklusiv,,,,45000,,,,,,,,,,
,,,,,1569,,,,,,,98661770,,16568,Volkswagen Golf,0665 Oslo,Ikke inklusiv,,,,14999,,,,,,,,,,
,,,,,3660,,,,,,,97360037,,169000,Volvo V60,2080 Eidsvoll,Inklusiv,,,,165340,,,,,,,,,,
,,,,,3660,,,,,,,93884509,,148660,Skoda Octavia,1407 Vinterbro,Inklusiv,,,,145000,,,,,,,,,,
,,,,,1046,,,,,,,98385485,,16046,Peugeot Expert,4640 Søgne,Ikke inklusiv,,,,15000,,,,,,,,,,
2001,1 l,Blå,60 Hk,Kombi 5-dørs,,,Norge,Bruktbil til salgs,,Personbil,5,98661971,845 kg,6569,Nissan Micra,7072 Heimdal,,149 g/km,01.06.2001,Forhjulsdrift,,,,5,,Bensin,VF41833,Manuell,5,,185 000 km
,,,,,1569,,,,,,,98659689,,119569,Mercedes-Benz E-Klasse,1251 Oslo,Inklusiv,,,,118000,,,,,,,,,,
,,,,,1569,,,,,,,98661345,,366569,Chevrolet Corvette,2160 Vormsund,Inklusiv,,,,365000,,,,,,,,,,
2000,2 l,Grønn,150 Hk,Sedan,,,Norge,Bruktbil til salgs,,Personbil,4,98660184,1 440 kg,9569,Rover 75,6392 Vikebukt,,,16.11.1999,Forhjulsdrift,,,,4,,Bensin,DJ76094,Automat,5,Pearl,249 600 km
,,,,,3660,,,,,,,98661055,,155660,Honda CR-V,6100 Volda,Ikke inklusiv,,,,152000,,,,,,,,,,
,,,,,3660,,,,,,,92610605,,120900,BMW 1-serie,0686 Oslo,Inklusiv,,,,117240,,,,,,,,,,
,,,,,1569,,,,,,,91515507,,31569,Volvo S80,4021 Stavanger,Inklusiv,,,,30000,,,,,,,,,,
,,,,,3660,,,,,,,98413420,,125000,Nissan Qashqai,4156 Mosterøy,Inklusiv,,,,121340,,,,,,,,,,
,,,,,3660,,,,,,,98661600,,33759,Opel Astra,3920 Porsgrunn,Ikke inklusiv,,,,30099,,,,,,,,,,
,,,,,1569,,,,,,,94208098,,30000,Opel Vectra,9311 Brøstadbotn,Inklusiv,,,,28431,,,,,,,,,,
,,,,,Fritatt,,,,,,,98661734,,245000,Kia Soul,7000 Trondheim,Inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98658292,,49900,Toyota Corolla,1831 Askim,Inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98654399,,24569,Opel Astra,7716 Steinkjer,Inklusiv,,,,23000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98661509,,359000,Kia Sportage,7000 Trondheim,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3588,,,,,,,72708115,,188588,Citroen C5,1386 Asker,Inklusiv,,,,185000,,,,,,,,,,
,,,,,1255,,,,,,,98659629,,151255,Volkswagen Caravelle,3692 Sauland,Inklusiv,,,,150000,,,,,,,,,,
2016,"1,2 l",Sølv,82 Hk,SUV/Offroad,,,Norge,Leasing,,Personbil,2,98660110,965 kg,1800,Citroen C4 Cactus,0656 Oslo,,105 g/km,01.07.2016,Forhjulsdrift,,,,5,,Bensin,BT45467,Manuell,5,,20 000 km
,,,,,1569,,,,,,,98659852,,65000,Subaru Forester,5593 Skånevik,Inklusiv,,,,63431,,,,,,,,,,
,,,,,3660,,,,,,,98564821,,223660,Volkswagen Golf,1339 Vøyenenga,Ikke inklusiv,,,,220000,,,,,,,,,,
,,,,,3660,,,,,,,90972261,,259900,BMW 3-serie,5306 Erdal,Inklusiv,,,,256240,,,,,,,,,,
,,,,,3660,,,,,,,89828754,,190000,BMW 1-serie,0470 Oslo,Inklusiv,,,,186340,,,,,,,,,,
,,,,,3660,,,,,,,94641640,,268660,Volvo XC 60,1362 Hosle,Inklusiv,,,,265000,,,,,,,,,,
,,,,,2614,,,,,,,98660432,,62614,Opel Corsa,4616 Kristiansand,Ikke inklusiv,,,,60000,,,,,,,,,,
,,,,,1569,,,,,,,98658556,,35969,Citroen C4,5259 Hjellestad,Inklusiv,,,,34400,,,,,,,,,,
,,,,,1569,,,,,,,90662795,,95000,BMW 5-serie,1925 Blaker,Inklusiv,,,,93431,,,,,,,,,,
,,,,,1046,,,,,,,98658400,,16046,Ford Transit Connect,2770 Jaren,Inklusiv,,,,15000,,,,,,,,,,
,,,,,3660,,,,,,,98657782,,219660,BMW 3-serie,5357 Fjell,Inklusiv,,,,216000,,,,,,,,,,
,,,,,1569,,,,,,,98659260,,32000,Skoda Fabia,7560 Vikhammer,Inklusiv,,,,30431,,,,,,,,,,
,,,,,1569,,,,,,,98659323,,25069,Audi A4,2743 Harestua,Inklusiv,,,,23500,,,,,,,,,,
,,,,,3660,,,,,,,98657541,,90000,Volkswagen Golf,4617 Kristiansand,Ikke inklusiv,,,,86340,,,,,,,,,,
,,,,,Fritatt,,,,,,,98658584,,12000,BMW 3-serie,1605 Fredrikstad,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98424211,,19569,Volkswagen Passat,,Inklusiv,,,,18000,,,,,,,,,,
,,,,,3660,,,,,,,98628085,,209660,Mitsubishi Outlander,2013 Skjetten,Inklusiv,,,,206000,,,,,,,,,,
,,,,,1046,,,,,,,96559682,,60046,Mitsubishi Pajero,2480 Koppang,Inklusiv,,,,59000,,,,,,,,,,
,,,,,3660,,,,,,,98658710,,100000,Ford Focus,1555 Son,Inklusiv,,,,96340,,,,,,,,,,
,,,,,Fritatt,,,,,,,85303384,,347000,Volkswagen Amarok,6057 Ellingsøy,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98635802,,163660,Audi A4,5310 Hauglandshella,Inklusiv,,,,160000,,,,,,,,,,
,,,,,1569,,,,,,,98485285,,19569,Mitsubishi Space Wagon,0475 Oslo,Inklusiv,,,,18000,,,,,,,,,,
