tabled_Salgsform,tabled_Forrige pris,id,price,title,place,tabled_Antall dører,tabled_CO2 utslipp,tabled_Interiørfarge,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Avgiftsklasse,tabled_Antall eiere,tabled_Hjuldriftnavn,tabled_Str. lasterom,tabled_Drivstoff,tabled_Antall seter,tabled_Km.stand,tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Innskudd,tabled_Omregistrering,tabled_Vekt,tabled_Bilen står i,tabled_Årsavgift,tabled_1. gang registrert,tabled_Girkasse,tabled_Reg.nr.,tabled_Fargebeskrivelse
,,97578472,118660,Ford Mondeo,2619 Lillehammer,,,,,"115 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98664666,21569,Ford Focus,8614 Mo,,,,,"20 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98664770,336064,Suzuki Vitara,7530 Meråker,,,,,"330 000,-",,,,,,,,,,,,,,"6 064,-",,,Inklusiv,,,,
,,77796311,249000,Volvo V60,5531 Haugesund,,,,,"245 412,-",,,,,,,,,,,,,,"3 588,-",,,Inklusiv,,,,
,,98665156,31569,Smart,3660 Rjukan,,,,,"30 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98659892,75660,Ford Galaxy,4020 Stavanger,,,,,"72 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98665819,309900,Volvo XC 60,7047 Trondheim,,,,,"306 240,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,96635272,483660,Tesla Model S,5119 Ulset,,,,,"480 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98663076,21569,Suzuki Jimny,6419 Molde,,,,,"20 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98661254,42000,Opel Meriva,4056 Tananger,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98664931,158973,Volkswagen,1177 Oslo,,,,,"155 000,-",,,,,,,,,,,,,,"3 973,-",,,Inklusiv,,,,
,,98475818,279660,Volvo XC 70,5267 Espeland,,,,,"276 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,93089258,59069,Volkswagen Polo,3420 Lierskogen,,,,,"57 500,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98660229,84614,Citroen C-Zero,0777 Oslo,,,,,"82 000,-",,,,,,,,,,,,,,"2 614,-",,,Ikke inklusiv,,,,
,,92323773,23000,Toyota Yaris Verso,6815 Førde,,,,,"21 431,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,96394320,11569,Ford Mondeo,3618 Skollenborg,,,,,"10 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
